0ad a23.1-7
0ad-data a23.1-1
adobe-source-sans-pro-fonts 3.006-1
adobe-source-serif-pro-fonts 3.001-1
alacritty 0.4.0-1
alsa-plugins 1.2.1-1
alsa-utils 1.2.1-1
amd-ucode 20191215.eefb5f7-1
arc-gtk-theme 20190917-1
arc-icon-theme 20161122-2
ardour 5.12-13
asciidoctor 2.0.10-1
autoconf 2.69-6
automake 1.16.1-2
base 2-2
bash 5.0.011-2
binutils 2.33.1-2
bison 3.5-1
blender 17:2.81.a-3
bspwm 0.9.9-1
bzip2 1.0.8-3
carla 2.0.0-1
chromium 79.0.3945.88-1
clang 9.0.0-3
code 1.41.1-1
cool-retro-term 1.1.1-1
coreutils 8.31-3
cronie 1.5.5-1
cryptsetup 2.2.2-1
device-mapper 2.02.186-4
dhcpcd 8.1.2-1
diffutils 3.7-3
dmenu 4.9-1
dunst 1.4.1-1
e2fsprogs 1.45.4-2
efibootmgr 16-2
entr 4.3-1
fakeroot 1.24-2
feh 3.3-2
file 5.37-5
filesystem 2019.10-2
findutils 4.7.0-2
firefox 71.0-1
flex 2.6.4-3
freeglut 3.2.1-1
gawk 5.0.1-2
gcc 9.2.0-4
gcc-libs 9.2.0-4
gdb 8.3.1-4
gettext 0.20.1-3
gimp 2.10.14-1
git 2.24.1-2
glava 1.6.3-1
glibc 2.30-3
go 2:1.13.5-1
graphviz 2.42.3-1
grep 3.3-3
groff 1.22.4-2
gvfs 1.42.2-1
gzip 1.10-3
htop 2.2.0-2
hugo 0.61.0-1
i3-gaps 4.17.1-1
i3blocks 1.5-3
i3status 2.13-2
inetutils 1.9.4-8
inkscape 0.92.4-9
iproute2 5.4.0-1
iputils 20190709-2
jack2 1.9.14-1
jdk-openjdk 13.0.1.u9-1
jfsutils 1.1.15-7
jre-openjdk 13.0.1.u9-1
kcharselect 19.12.0-1
keybase 5.1.1-1
kicad 5.1.5-1
kicad-library 5.1.5-1
krita 4.2.8.2-2
less 551-3
libtool 2.4.6+42+gb88cebd5-8
licenses 20191011-2
linux 5.4.6.arch1-1
linux-firmware 20191215.eefb5f7-1
lldb 9.0.0-2
llvm 9.0.0-4
lmms 1.2.1-2
logrotate 3.15.1-2
lolcat 100.0.0-1
lvm2 2.02.186-4
lxappearance 0.6.3-2
lxsession 1:0.5.4-1
m4 1.4.18-3
